Rate_ID,Category,Item,Rate,Currency,Rate_Basis,Node_From,Node_To,Ch_Code,Min_Charge,Effective_From,Source
ORIG-CHENNAI-1631,ORIGIN_COMPONENT,EXW Collection (CHENNAI),495.00,USD,Per Container,CHENNAI,CHENNAI port,1631,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1631,ORIGIN_COMPONENT,EXW Collection (COIMBATORE),865.00,USD,Per Container,COIMBATORE,COIMBATORE port,1631,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1631,ORIGIN_COMPONENT,EXW Collection (QINGDAO),585.00,USD,Per Container,QINGDAO,QINGDAO port,1631,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1631,ORIGIN_COMPONENT,EXW Collection (WEIFANG),910.00,USD,Per Container,WEIFANG,WEIFANG port,1631,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1631,ORIGIN_COMPONENT,EXW Collection (YANTAI),780.00,USD,Per Container,YANTAI,YANTAI port,1631,,2025-01-01,CLIENT_RATE_CARD
DEST-GDA-POZNAN,DEST_DELIVERY,"Port Gdansk, Poland to warehouse Poznan, PL",1240.00,USD,Per Container,"Gdansk, Poland","Poznan, PL",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-HAM-LUBECK,DEST_DELIVERY,"Port Hamburg, Germany to warehouse Lubeck, DE",940.00,USD,Per Container,"Hamburg, Germany","Lubeck, DE",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-ROT-EINDHOVE,DEST_DELIVERY,"Port Rotterdam, Netherlands to warehouse Eindhoven, NL",1420.00,USD,Per Container,"Rotterdam, Netherlands","Eindhoven, NL",1638,,2025-01-01,CLIENT_RATE_CARD
OCEAN-CHENNA-HAM,OCEAN,"Ocean freight Chennai to Hamburg, Germany",3620.00,USD,Per Container,Chennai,"Hamburg, Germany",1301,,2025-01-01,CLIENT_RATE_CARD
OCEAN-QINGDA-HAM,OCEAN,"Ocean freight Qingdao to Hamburg, Germany",4290.00,USD,Per Container,Qingdao,"Hamburg, Germany",1301,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (CHENNAI),330.00,USD,Per Container,CHENNAI,CHENNAI port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1633,ORIGIN_COMPONENT,EXW VGM Filing (CHENNAI),52.00,USD,Per Container,CHENNAI,CHENNAI port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1634,ORIGIN_COMPONENT,EXW Seal Fee (CHENNAI),41.00,USD,Per Container,CHENNAI,CHENNAI port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1635,ORIGIN_COMPONENT,EXW Export Documentation (CHENNAI),76.00,USD,Per Container,CHENNAI,CHENNAI port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (CHENNAI),118.00,USD,Per Container,CHENNAI,CHENNAI port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (CHENNAI),142.00,USD,Per Container,CHENNAI,CHENNAI port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (COIMBATORE),330.00,USD,Per Container,COIMBATORE,COIMBATORE port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1633,ORIGIN_COMPONENT,EXW VGM Filing (COIMBATORE),52.00,USD,Per Container,COIMBATORE,COIMBATORE port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1634,ORIGIN_COMPONENT,EXW Seal Fee (COIMBATORE),41.00,USD,Per Container,COIMBATORE,COIMBATORE port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1635,ORIGIN_COMPONENT,EXW Export Documentation (COIMBATORE),76.00,USD,Per Container,COIMBATORE,COIMBATORE port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (COIMBATORE),118.00,USD,Per Container,COIMBATORE,COIMBATORE port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (COIMBATORE),142.00,USD,Per Container,COIMBATORE,COIMBATORE port,1637,,2025-01-01,CLIENT_RATE_CARD
